Movie Name,Duration,Genres,Director Name,Top Four Movies
The Silence of the Lambs,1h 58min,"Crime , Drama , Thriller",Jonathan Demme,"The Silence of the Lambs , Rachel Getting Married , Philadelphia , The Manchurian Candidate"
Spirited Away,2h 5min,"Animation , Adventure , Family",Hayao Miyazaki,"Spirited Away , My Neighbor Totoro , Howl's Moving Castle , Princess Mononoke"
Interstellar,2h 49min,"Adventure , Drama , Sci-Fi",Christopher Nolan,"The Prestige , Interstellar , Inception , Dunkirk"
Star Wars: Episode IV - A New Hope,2h 1min,"Action , Adventure , Fantasy",George Lucas,"Star Wars: Episode IV - A New Hope , THX 1138 , American Graffiti , Indiana Jones and the Raiders of the Lost Ark"
Life Is Beautiful,1h 56min,"Comedy , Drama , Romance",Roberto Benigni,"Life Is Beautiful , The Tiger and the Snow , Down by Law , Pinocchio"
The Shawshank Redemption,2h 22min,Drama,Frank Darabont,"The Green Mile , The Walking Dead , The Shawshank Redemption , The Mist"
One Flew Over the Cuckoo's Nest,2h 13min,Drama,Milos Forman,"One Flew Over the Cuckoo's Nest , Amadeus , The People vs. Larry Flynt , Hair"
Seven Samurai,3h 27min,"Action , Adventure , Drama",Akira Kurosawa,"The Hidden Fortress , Ran , Kagemusha , Seven Samurai"
Se7en,2h 7min,"Crime , Drama , Mystery",David Fincher,"Se7en , Zodiac , Gone Girl , The Social Network"
Saving Private Ryan,2h 49min,"Drama , War",Steven Spielberg,"Schindler's List , E.T. the Extra-Terrestrial , Saving Private Ryan , Indiana Jones and the Raiders of the Lost Ark"
Star Wars: Episode V - The Empire Strikes Back,2h 4min,"Action , Adventure , Fantasy",Irvin Kershner,"Star Wars: Episode V - The Empire Strikes Back , Never Say Never Again , RoboCop 2 , On Deadly Ground"
It's a Wonderful Life,2h 10min,"Drama , Family , Fantasy",Frank Capra,"It's a Wonderful Life , It Happened One Night , Mr. Smith Goes to Washington , Mr. Deeds Goes to Town"
Three Colors: Red,1h 39min,"Drama , Mystery , Romance",Krzysztof Kieslowski,"Three Colors: Blue , Three Colors: Red , The Double Life of Véronique , Three Colors: White"
Tangerines,1h 27min,"Drama , War",Zaza Urushadze,"Tangerines , Ak tendeba , The Confession , Three Houses"
Goodfellas,2h 26min,"Biography , Crime , Drama",Martin Scorsese,"Taxi Driver , Mean Streets , Goodfellas , The Age of Innocence"
The Battle of Algiers,2h 1min,"Drama , War",Gillo Pontecorvo,"The Battle of Algiers , Ogro , Kapo , Burn!"
The Help,2h 26min,Drama,Tate Taylor,"The Help , Winter's Bone , Pretty Ugly People , Chicken Party"
A Silent Voice: The Movie,2h 10min,"Animation , Drama , Family",Naoko Yamada,"A Silent Voice: The Movie , K-On! , Liz and the Blue Bird , Beyond the Boundary"
Drishyam,2h 43min,"Crime , Drama , Mystery",Nishikant Kamat,"Dombivli Fast , Drishyam , Mumbai Meri Jaan , Madaari"
The Invisible Guest,1h 46min,"Crime , Drama , Mystery",Oriol Paulo,"The Body , The Invisible Guest , Los ojos de Julia , Mirage"
Rang De Basanti,2h 47min,"Comedy , Crime , Drama",Rakeysh Omprakash Mehra,"Rang De Basanti , Bhaag Milkha Bhaag , Delhi-6 , Reflection"
Before Sunset,1h 20min,"Drama , Romance",Richard Linklater,"Waking Life , Before Midnight , Boyhood , A Scanner Darkly"
"Paris, Texas",2h 25min,Drama,Wim Wenders,"Wings of Desire , Paris, Texas , Until the End of the World , Faraway, So Close!"
Portrait of a Lady on Fire,2h 2min,"Drama , Romance",Céline Sciamma,"Portrait of a Lady on Fire , Tomboy , Girlhood , Water Lilies"
Rififi,1h 58min,"Crime , Drama , Thriller",Jules Dassin,"Rififi , Never on Sunday , Phaedra , The Law"
Andrei Rublev,3h 25min,"Biography , Drama , History",Andrei Tarkovsky,"Solaris , Andrei Rublev , Stalker , The Sacrifice"
In the Mood for Love,1h 38min,"Drama , Romance",Kar-Wai Wong,"The Grandmaster , In the Mood for Love , 2046 , Chungking Express"
Rocky,2h,"Drama , Sport",John G. Avildsen,"Rocky , The Karate Kid Part III , Rocky V , The Karate Kid"
Rebecca,2h 10min,"Drama , Mystery , Romance",Alfred Hitchcock,"Psycho , Vertigo , North by Northwest , The Wrong Man"
The Passion of Joan of Arc,1h 54min,"Biography , Drama , History",Carl Theodor Dreyer,"The Passion of Joan of Arc , Gertrud , Ordet , Landsbykirken"
Hotel Rwanda,2h 1min,"Biography , Drama , History",Terry George,"Hotel Rwanda , In the Name of the Father , Some Mother's Son , The Promise"
Time of the Gypsies,2h 22min,"Comedy , Crime , Drama",Emir Kusturica,"Underground , Arizona Dream , Black Cat, White Cat , Life Is a Miracle"
Gangs of Wasseypur,5h 21min,"Action , Comedy , Crime",Anurag Kashyap,"Gangs of Wasseypur , Udaan , Queen , Dev.D"
Amores Perros,2h 34min,"Drama , Thriller",Alejandro G. Iñárritu,"The Revenant , Biutiful , Babel , Birdman or (The Unexpected Virtue of Ignorance)"
The 400 Blows,1h 39min,"Crime , Drama",François Truffaut,"Day for Night , Close Encounters of the Third Kind , The 400 Blows , Jules and Jim"
La Haine,1h 38min,"Crime , Drama",Mathieu Kassovitz,"Amélie , La Haine , The Fifth Element , The Crimson Rivers"
Spotlight,2h 9min,"Biography , Crime , Drama",Tom McCarthy,"Win Win , The Station Agent , The Visitor , Spotlight"
Monty Python's Life of Brian,1h 34min,Comedy,Terry Jones,"Monty Python and the Holy Grail , The Meaning of Life , Monty Python's Life of Brian , Mr. Toad's Wild Ride"
The Wages of Fear,2h 11min,"Adventure , Drama , Thriller",Henri-Georges Clouzot,"The Wages of Fear , Diabolique , Quai des Orfèvres , Manon"
Platoon,2h,"Drama , War",Oliver Stone,"JFK , Natural Born Killers , Platoon , Born on the Fourth of July"
Logan,2h 17min,"Action , Drama , Sci-Fi",James Mangold,"Logan , Ford v Ferrari , Walk the Line , The Wolverine"
Into the Wild,2h 28min,"Adventure , Biography , Drama",Sean Penn,"Mystic River , 21 Grams , Milk , Dead Man Walking"
The Handmaiden,2h 25min,"Drama , Romance , Thriller",Chan-wook Park,"The Handmaiden , Thirst , Oldboy , Lady Vengeance"
Cool Hand Luke,2h 7min,"Crime , Drama",Stuart Rosenberg,"Cool Hand Luke , Question 7 , The Defenders , The Amityville Horror"
Hachi: A Dog's Tale,1h 33min,"Biography , Drama , Family",Lasse Hallström,"What's Eating Gilbert Grape , Chocolat , The Cider House Rules , The Hundred-Foot Journey"
Ben-Hur,3h 32min,"Adventure , Drama , History",William Wyler,"The Best Years of Our Lives , Ben-Hur , Roman Holiday , The Big Country"
Network,2h 1min,Drama,Sidney Lumet,"12 Angry Men , Before the Devil Knows You're Dead , Dog Day Afternoon , Murder on the Orient Express"
Stand by Me,1h 29min,"Adventure , Drama",Rob Reiner,"All in the Family , This Is Spinal Tap , The Wolf of Wall Street , The Story of Us"
Harry Potter and the Deathly Hallows: Part 2,2h 10min,"Adventure , Drama , Fantasy",David Yates,"Harry Potter and the Deathly Hallows: Part 2 , Harry Potter and the Order of the Phoenix , The Legend of Tarzan , Harry Potter and the Deathly Hallows: Part 1"
Dead Poets Society,2h 8min,"Comedy , Drama",Peter Weir,"Master and Commander: The Far Side of the World , The Way Back , Witness , Dead Poets Society"
Million Dollar Baby,2h 12min,"Drama , Sport",Clint Eastwood,"Million Dollar Baby , Unforgiven , Gran Torino , The Bridges of Madison County"
Rush,2h 3min,"Action , Biography , Drama",Ron Howard,"Arrested Development , A Beautiful Mind , Apollo 13 , Frost/Nixon"
Mad Max: Fury Road,2h,"Action , Adventure , Sci-Fi",George Miller,"Mad Max: Fury Road , Mad Max 2: The Road Warrior , Mad Max , Happy Feet"
The Bandit,2h 8min,"Crime , Drama , Thriller",Yavuz Turgul,"The Bandit , Hunting Season , Mr. Muhsin , The Shadow Play"
12 Years a Slave,2h 14min,"Biography , Drama , History",Steve McQueen,"12 Years a Slave , Shame , Hunger , Widows"
To Be or Not to Be,1h 39min,"Comedy , War",Ernst Lubitsch,"To Be or Not to Be , The Shop Around the Corner , Ninotchka , The Patriot"
Barry Lyndon,3h 5min,"Adventure , Drama , History",Stanley Kubrick,"2001: A Space Odyssey , A Clockwork Orange , Barry Lyndon , Eyes Wide Shut"
Andhadhun,2h 19min,"Crime , Drama , Music",Sriram Raghavan,"Andhadhun , Badlapur , Johnny the Traitor , Ek Hasina Thi"
Prisoners,2h 33min,"Crime , Drama , Mystery",Denis Villeneuve,"Blade Runner 2049 , Arrival , Incendies , Sicario"
Persona,1h 23min,"Drama , Thriller",Ingmar Bergman,"Persona , Wild Strawberries , The Seventh Seal , Fanny and Alexander"
Anand,2h 2min,"Drama , Musical",Hrishikesh Mukherjee,"Anand , Aashirwad , Anuradha , Anupama"
Mary and Max,1h 32min,"Animation , Comedy , Drama",Adam Elliot,"Mary and Max , Harvie Krumpet , Brother , Cousin"
Hacksaw Ridge,2h 19min,"Biography , Drama , History",Mel Gibson,"Braveheart , Lethal Weapon 3 , Conspiracy Theory , Ransom"
Sherlock Jr.,45min,"Action , Comedy , Romance",Buster Keaton,"The General , Sherlock Jr. , Steamboat Bill, Jr. , Seven Chances"
The Grand Budapest Hotel,1h 39min,"Adventure , Comedy , Crime",Wes Anderson,"Fantastic Mr. Fox , The Royal Tenenbaums , Isle of Dogs , Moonrise Kingdom"
The Deer Hunter,3h 3min,"Drama , War",Michael Cimino,"The Deer Hunter , Heaven's Gate , Silent Running , Year of the Dragon"
Tokyo Story,2h 16min,Drama,Yasujirô Ozu,"Tokyo Story , Late Spring , Early Summer , Late Autumn"
On the Waterfront,1h 48min,"Crime , Drama , Thriller",Elia Kazan,"On the Waterfront , East of Eden , A Streetcar Named Desire , America America"
In the Name of the Father,2h 13min,"Biography , Crime , Drama",Jim Sheridan,"In America , In the Name of the Father , My Left Foot , Brothers"
The Third Man,1h 33min,"Film-Noir , Mystery , Thriller",Carol Reed,"The Third Man , Oliver! , The Fallen Idol , Odd Man Out"
Wild Tales,2h 2min,"Comedy , Drama , Thriller",Damián Szifron,"Wild Tales , Pretenders , On Probation , The Bottom of the Sea"
The Bridge on the River Kwai,2h 41min,"Adventure , Drama , War",David Lean,"Lawrence of Arabia , The Bridge on the River Kwai , Doctor Zhivago , Brief Encounter"
Room,1h 58min,"Drama , Thriller",Lenny Abrahamson,"Room , Frank , Adam & Paul , Garage"
Memories of Murder,2h 12min,"Crime , Drama , Mystery",Bong Joon Ho,"Snowpiercer , Parasite , Okja , The Host"
Blade Runner,1h 57min,"Action , Sci-Fi , Thriller",Ridley Scott,"The Martian , Blade Runner , Thelma & Louise , Gladiator"
Kill Bill: Vol. 1,1h 51min,"Action , Crime , Drama",Quentin Tarantino,"Reservoir Dogs , Pulp Fiction , From Dusk Till Dawn , The Hateful Eight"
Trainspotting,1h 33min,Drama,Danny Boyle,"127 Hours , 28 Days Later... , Slumdog Millionaire , Shallow Grave"
Warrior,2h 20min,"Action , Drama , Sport",Gavin O'Connor,"The Accountant , Pride and Glory , Warrior , Tumbleweeds"
The Sixth Sense,1h 47min,"Drama , Mystery , Thriller",M. Night Shyamalan,"Lady in the Water , Signs , The Village , The Sixth Sense"
The Elephant Man,2h 4min,"Biography , Drama",David Lynch,"Twin Peaks , Twin Peaks: Fire Walk with Me , Mulholland Drive , Inland Empire"
The Thing,1h 49min,"Horror , Mystery , Sci-Fi",John Carpenter,"The Fog , Halloween , Escape from New York , They Live"
V for Vendetta,2h 12min,"Action , Drama , Sci-Fi",James McTeigue,"V for Vendetta , The Raven , Ninja Assassin , The Matrix"
Chinatown,2h 10min,"Drama , Mystery , Thriller",Roman Polanski,"Chinatown , The Tenant , The Ghost Writer , Carnage"
"Three Billboards Outside Ebbing, Missouri",1h 55min,"Comedy , Crime , Drama",Martin McDonagh,"In Bruges , Three Billboards Outside Ebbing, Missouri , Seven Psychopaths , Six Shooter"
The Gold Rush,1h 35min,"Adventure , Comedy , Drama",Charles Chaplin,"The Great Dictator , Limelight , The Circus , Modern Times"
Judgment at Nuremberg,2h 59min,"Drama , War",Stanley Kramer,"Judgment at Nuremberg , Guess Who's Coming to Dinner , Inherit the Wind , On the Beach"
The Treasure of the Sierra Madre,2h 6min,"Adventure , Drama , Western",John Huston,"The Treasure of the Sierra Madre , Chinatown , The African Queen , Moby Dick"
"Lock, Stock and Two Smoking Barrels",1h 47min,"Action , Comedy , Crime",Guy Ritchie,"Sherlock Holmes , Lock, Stock and Two Smoking Barrels , Snatch , The Man from U.N.C.L.E."
There Will Be Blood,2h 38min,Drama,Paul Thomas Anderson,"Punch-Drunk Love , Boogie Nights , There Will Be Blood , Inherent Vice"
The Secret in Their Eyes,2h 9min,"Drama , Mystery , Romance",Juan José Campanella,"The Secret in Their Eyes , The Man of Your Dreams , El mismo amor, la misma lluvia , The Weasel's Tale"
The Great Escape,2h 52min,"Adventure , Drama , History",John Sturges,"The Great Escape , The Magnificent Seven , Bad Day at Black Rock , Gunfight at the O.K. Corral"
All About Eve,2h 18min,Drama,Joseph L. Mankiewicz,"All About Eve , Cleopatra , A Letter to Three Wives , Sleuth"
Some Like It Hot,2h 1min,"Comedy , Music , Romance",Billy Wilder,"The Apartment , Some Like It Hot , Sabrina , Sunset Blvd."
Pan's Labyrinth,1h 58min,"Drama , Fantasy , War",Guillermo del Toro,"Pan's Labyrinth , The Shape of Water , Hellboy , Pacific Rim"
Children of Heaven,1h 29min,"Drama , Family , Sport",Majid Majidi,"Children of Heaven , Baran , The Color of Paradise , Sun Children"
Downfall,2h 36min,"Biography , Drama , History",Oliver Hirschbiegel,"The Experiment , Downfall , Five Minutes of Heaven , The Invasion"
Heat,2h 50min,"Crime , Drama , Thriller",Michael Mann,"The Insider , The Last of the Mohicans , Collateral , Manhunter"
Die Hard,2h 12min,"Action , Thriller",John McTiernan,"Die Hard , Rollerball , Predator , Last Action Hero"
Green Book,2h 10min,"Biography , Comedy , Drama",Peter Farrelly,"Green Book , There's Something About Mary , Dumb and Dumber , Osmosis Jones"
L.A. Confidential,2h 18min,"Crime , Drama , Mystery",Curtis Hanson,"L.A. Confidential , In Her Shoes , The Hand That Rocks the Cradle , Wonder Boys"
For a Few Dollars More,2h 12min,Western,Sergio Leone,"Once Upon a Time in America , Duck You Sucker , The Good, the Bad and the Ugly , A Fistful of Dollars"
Metropolis,2h 33min,"Drama , Sci-Fi",Fritz Lang,"Contempt , Spies , M , Fury"
To Kill a Mockingbird,2h 9min,"Crime , Drama",Robert Mulligan,"To Kill a Mockingbird , Summer of '42 , The Other , The Nickel Ride"
Amélie,2h 2min,"Comedy , Romance",Jean-Pierre Jeunet,"A Very Long Engagement , Amélie , Delicatessen , Micmacs"
The Sting,2h 9min,"Comedy , Crime , Drama",George Roy Hill,"The Sting , Butch Cassidy and the Sundance Kid , Slap Shot , Slaughterhouse-Five"
A Separation,2h 3min,Drama,Asghar Farhadi,"Darbareye Elly , The Salesman , A Separation , The Past"
Toy Story 3,1h 43min,"Animation , Adventure , Comedy",Lee Unkrich,"Toy Story 2 , Coco , Toy Story 3 , Finding Nemo"
Scarface,2h 50min,"Crime , Drama",Brian De Palma,"Dressed to Kill , The Untouchables , Body Double , Femme Fatale"
Come and See,2h 22min,"Drama , Thriller , War",Elem Klimov,"Come and See , Rasputin , Pokhozhdeniya zubnogo vracha , Farewell"
1917,1h 59min,"Drama , Thriller , War",Sam Mendes,"1917 , Skyfall , Road to Perdition , Revolutionary Road"
Bicycle Thieves,1h 29min,Drama,Vittorio De Sica,"Bicycle Thieves , The Gold of Naples , Umberto D. , Il Generale Della Rovere"
Dangal,2h 41min,"Action , Biography , Drama",Nitesh Tiwari,"Chhichhore , Dangal , Bareilly Ki Barfi , Children's Party"
The Hunt,1h 55min,Drama,Thomas Vinterberg,"The Hunt , Another Round , The Celebration , Submarino"
Eternal Sunshine of the Spotless Mind,1h 48min,"Drama , Romance , Sci-Fi",Michel Gondry,"Eternal Sunshine of the Spotless Mind , The Science of Sleep , Be Kind Rewind , The We and the I"
Citizen Kane,1h 59min,"Drama , Mystery",Orson Welles,"Citizen Kane , Touch of Evil , The Lady from Shanghai , The Trial"
Requiem for a Dream,1h 42min,Drama,Darren Aronofsky,"Pi , Requiem for a Dream , The Fountain , Mother!"
Good Will Hunting,2h 6min,"Drama , Romance",Gus Van Sant,"Elephant , Drugstore Cowboy , My Own Private Idaho , Paranoid Park"
Das Boot,2h 29min,"Adventure , Drama , Thriller",Wolfgang Petersen,"Das Boot , Enemy Mine , Outbreak , Air Force One"
Star Wars: Episode VI - Return of the Jedi,2h 11min,"Action , Adventure , Fantasy",Richard Marquand,"Star Wars: Episode VI - Return of the Jedi , Jagged Edge , Nowhere to Run , NBC Special Treat"
Capernaum,2h 6min,Drama,Nadine Labaki,"Where Do We Go Now? , Capernaum , Caramel , 1982"
3 Idiots,2h 50min,"Comedy , Drama",Rajkumar Hirani,"PK , Munna Bhai M.B.B.S. , 3 Idiots , Sanju"
Toy Story,1h 21min,"Animation , Adventure , Comedy",John Lasseter,"Toy Story 2 , A Bug's Life , Cars , Toy Story"
Your Name.,1h 46min,"Animation , Drama , Fantasy",Makoto Shinkai,"Your Name. , The Place Promised in Our Early Days , The Garden of Words , 5 Centimeters Per Second"
Aliens,2h 17min,"Action , Adventure , Sci-Fi",James Cameron,"Avatar , Titanic , Terminator 2: Judgment Day , Aliens"
WALL·E,1h 38min,"Animation , Adventure , Family",Andrew Stanton,"WALL·E , Finding Nemo , Finding Dory , Toy Story 2"
The Lives of Others,2h 17min,"Drama , Mystery , Thriller",Florian Henckel von Donnersmarck,"The Lives of Others , Never Look Away , The Tourist , Dobermann"
Hamilton,2h 40min,"Biography , Drama , History",Thomas Kail,"Fosse/Verdon , Hamilton , Grease Live! , Fiddler on the Roof"
Joker,2h 2min,"Crime , Drama , Thriller",Todd Phillips,"Joker , Due Date , Old School , The Hangover"
Cinema Paradiso,2h 35min,"Drama , Romance",Giuseppe Tornatore,"Cinema Paradiso , The Best Offer , The Legend of 1900 , The Unknown Woman"
Apocalypse Now,2h 27min,"Drama , Mystery , War",Francis Ford Coppola,"Apocalypse Now , The Conversation , The Godfather: Part II , The Godfather"
Casablanca,1h 42min,"Drama , Romance , War",Michael Curtiz,"Casablanca , The Adventures of Robin Hood , The Comancheros , White Christmas"
Whiplash,1h 46min,"Drama , Music",Damien Chazelle,"La La Land , Whiplash , 10 Cloverfield Lane , First Man"
Grave of the Fireflies,1h 29min,"Animation , Drama , War",Isao Takahata,"The Tale of The Princess Kaguya , Grave of the Fireflies , Only Yesterday , Pom Poko"
Back to the Future,1h 56min,"Adventure , Comedy , Sci-Fi",Robert Zemeckis,"Back to the Future , Forrest Gump , Contact , Flight"
American History X,1h 59min,Drama,Tony Kaye,"Detachment , Lake of Fire , American History X , Mad for Love!"
The Usual Suspects,1h 46min,"Crime , Mystery , Thriller",Bryan Singer,"X-Men , The Usual Suspects , X-Men: Days of Future Past , Superman Returns"
The Lord of the Rings: The Two Towers,2h 59min,"Action , Adventure , Drama",Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring , Bad Taste , The Lord of the Rings: The Return of the King , The Lord of the Rings: The Two Towers"
Hara-Kiri,2h 13min,"Action , Drama , Mystery",Masaki Kobayashi,"Hara-Kiri , Samurai Rebellion , The Human Condition I: No Greater Love , The Human Condition III: A Soldier's Prayer"
Léon: The Professional,1h 50min,"Action , Crime , Drama",Luc Besson,"The Fifth Element , Léon: The Professional , Lucy , Nikita"
